"","movie","pick","review"
"467","Everybody Loves Somebody",0,"A messed-up heroine is asked to choose between naughty and nice in Catalina Aguilar Mastretta’s sophomore feature, which is predictable but satisfying."
"468","Fist Fight",0,"It’s the last day of school, and two teachers are getting ready to rumble in this comedy directed by Richie Keen."
"469","From Nowhere",1,"Julianne Nicholson plays a Bronx high school teacher who tries to help three undocumented students cope with the threat of being discovered by the authorities."
"470","How Heavy This Hammer",0,"Written and directed by Kazik Radwanski, this film was shot in practically all hand-held almost close-ups."
"471","Lovesong",1,"The movie, directed by So Yong Kim, explores the mystery of unspoken love."
"472","My Name Is Emily",0,"Evanna Lynch, of “Harry Potter,” plays a teenager who leaves her foster home to search for her institutionalized father."
"473","The Great Wall",0,"Zhang Yimou’s costume spectacle offers drooling creatures, glowering warriors, a swaggering mercenary and a message about China’s might."
"474","1 Night",0,"This debut feature by Minhal Baig has two high school students, a couple in their 30s and a dash of charm."
"475","A United Kingdom",1,"This romance illustrates the struggle for African independence from colonialism, under the shadow of apartheid."
"476","Don’t Hang Up",0,"This formulaic horror movie features teenagers behaving badly and suffering the consequences."
"477","Eagles of Death Metal",0,"Colin Hanks’s documentary follows the band that was playing at the Bataclan in Paris when terrorists struck in 2015."
"478","Fifty Shades Darker",0,"Will moviegoers want to surrender control to this sequel to “Fifty Shades of Grey”?"
"479","I Am Jane Doe",0,"This documentary is a chronicle of the fight to hold an online classifieds site liable for children being sold into sex slavery."
"480","John Wick: Chapter 2",0,"This sequel is an altogether more solemn affair than the original, weighed down by the philosophy that more is always more."
"481","Kedi",1,"This documentary profiles distinctive street cats in Istanbul and the human communities that interact with them."
"482","Keep Quiet",0,"This documents how the career of the far-right Hungarian politician Csanad Szegedi was upended when he found out about his lineage."
"483","Left on Purpose",0,"This documentary focuses on Mayer Vishner, a man who has decided to end his life, and finds the filmmaker in an uncomfortable position."
"484","The Island Funeral",0,"This second feature by the Thai director Pimpaka Towira finds three young adults on an enigmatic journey."
"485","The Lego Batman Movie",0,"Warner Bros. offers amusement at its own expense and Will Arnett gives great voice to Gotham’s brooder, but this new movie is still a commercial."
"486","A Good American",0,"Friedrich Moser’s documentary employs re-enactments, moving graphics and a Philip Glass-like score."
"487","Eloise",0,"Robert Legato’s horror movie is “a strange mix of the recycled and the surreal,” Jeannette Catsoulis writes."
"488","Growing Up Smith",0,"This gentle coming-of-age film centers on a youngster caught between two cultures and struggling to adapt in suburbia."
"489","I Am Not Your Negro",1,"Raoul Peck’s documentary is an important introduction to James Baldwin’s work and an advanced seminar in racial politics."
"490","Liza, Liza, Skies Are Grey",0,"Teenagers on the run, with a motorcycle, and hints of the 1960s."
"491","Mr. Gaga",0,"Tomer Heymann’s documentary on the Israeli choreographer Ohad Naharin is a scattered and somewhat confused film about an intriguing and complicated man."
"492","Rings",0,"The latest in a horror franchise that began in Japan, this film fills in the back story of Samara, the girl who kills via VCR."
"493","The Comedian",0,"Joined by a cast that includes Edie Falco and Harvey Keitel, Mr. De Niro plays an insult comic in a film that, like its jokes, lacks zing."
"494","The Space Between Us",0,"Peter Chelsom’s movie concerns a young human (Asa Butterfield), raised in isolation on Mars, who visits Earth and a video-chat pal (Britt Robertson)."
"495","This Is Everything: Gigi Gorgeous",0,"Barbara Kopple’s film documents how Gigi Gorgeous, formerly Gregory Allan Lazzarato, took control of her transgender destiny with the support of her family."
"496","A Dog’s Purpose",0,"This film, opening amid a call for a PETA boycott, is a string of hero-dog fantasies and observations from the canine point of view."
"497","Gold",0,"He plays a rogue who strikes it rich, a thrill complicated by the corruptions of wealth, treachery and the schemer’s own fecklessness."
"498","Kung Fu Yoga",0,"Mr. Chan mugs and thwarts assailants in this harmless international romp."
"499","Lost in Florence",0,"Evan Oppenheimer’s film is a mild romantic drama with a guy perspective, featuring beautiful women and a brutal athletic spectacle."
"500","Midsummer in Newtown",0,"This documentary explores the value of a Shakespeare production intended to help residents heal after the horrific school shooting."
"501","Raees",1,"The “king of Bollywood” rarely plays the bad guy, but in this film he’s a criminal who’s also fighting corruption in 1980s and ’90s India."
"502","Resident Evil: The Final Chapter",0,"In the sixth entry in Paul W. S. Anderson’s dystopian franchise, Milla Jovovich’s character is back in zombie land, aided by her former nemesis the Red Queen."
"503","Speed Sisters",0,"This documentary centers on the challenges faced by five young women who make up the first female streetcar racing team in the Middle East."
"504","The Age of Consequences",0,"Jared P. Scott’s film explores the issue from the perspective of military experts rather than that of scientists. The information is compelling, but the movie is ham-handed."
"505","The Daughter",0,"This drama, set in a declining Australian logging town, centers on an estranged son who comes home, smoldering with resentment."
"506","The Last Family",1,"The difficult family life of the Polish painter Zdzislaw Beksinski makes for an often funny but also harrowing and heartbreaking film."
"507","The Salesman",1,"The ghost of Willy Loman hovers over this film from Asghar Farhadi, but it seems occupied with its own dramatic issues, our critic writes."
"508","20th Century Women",1,"Annette Bening stars as a complicated and divorced Santa Barbara mother in Mike Mills’s funny, emotionally piercing new film."
"509","Split",0,"“Split” represents something of a return to form — or formula — for its writer and director, M. Night Shyamalan. It’s all plot, spun into a ribbon of suspense."
"510","Staying Vertical",0,"In Alain Guiraudie’s quirky hybrid of thriller, sex comedy and folk tale, a screenwriter meets a shepherdess and, voilà, a baby is born."
"511","The Founder",0,"Mr. Keaton’s kinetic performance as the man who made McDonald’s what it is today doesn’t enhance the movie; it is the movie."
"512","The Red Turtle",0,"This largely nonverbal animated French-Belgian-Japanese coproduction, from Studio Ghibli, the home of Hayao Miyazaki, flirts with eco-mysticism."
"513","We Are the Flesh",0,"This debut feature by the Mexican writer and director Emiliano Rocha Minter seems to build on the character of Coffin Joe in the 1960s films by José Mojica Marins."
"514","XXX: Return of Xander Cage",0,"In the third installment of this franchise, the hero and new oddball allies set out to retrieve a stolen superweapon."
"515","100 Streets",0,"Idris Elba is among the stars of this Jim O’Hanlon film, a converging-narratives movie set in London."
"516","Bad Kids of Crestview Academy",0,"Prep-school students in Saturday detention are trapped on campus to die one by one in this film directed by Ben Browder, a sequel to “Bad Kids Go to Hell.”"
"517","Claire in Motion",0,"In this film, the latest written and directed by Lisa Robinson and Annie J. Howell, a wife searches for clues and finds larger unanswered questions."
"518","Live by Night",0,"Ben Affleck directed and stars in this gangster movie set in the 1920s, in which he tries to pour new wine into a bullet-riddled vessel."
"519","Monster Trucks",1,"A small-town teenager and a creature released by a geyser are unlikely friends in this live-action eco-fable from the “Ice Age” director Chris Wedge."
"520","One Piece Film: Gold",0,"This entry in the “One Piece” anime franchise involves the liberation of gamblers on a floating casino complex."
"521","Patriots Day",0,"This film declines to consider the jihadist ideology that apparently motivated the Boston Marathon bombers."
"522","Saving Banksy",1,"This documentary honors the street-based work of the British artist known as Banksy, and implicitly criticizes those who would try to turn profits from it."
"523","Sleepless",0,"This entry in the dad-to-the-rescue action-movie genre doesn’t have enough twists to even tie a shoelace."
"524","The Bye Bye Man",0,"This movie melds the summon-the-evil-by-its-name convention with the old try-not-to-think-of-an-elephant mind game, with scary results."
"525","The Son of Joseph",1,"Eugène Green’s new movie is divided into five sections, each titled after a biblical episode."
"526","The Sunshine Makers",0,"Cosmo Feilding Mellen’s documentary suggests that two young men saw themselves as spreading transcendence one hit at a time."
"527","A Monster Calls",0,"Liam Neeson is the voice of a giant tree that helps a child with a vivid imagination through difficult times."
"528","Arsenal",0,"This movie, directed by Steven C. Miller, follows two brothers under pressure by a crime boss in Mississippi."
"529","Hidden Figures",0,"The women, part of the giant step for mankind, have their stories told in this movie directed by Theodore Melfi."
"530","Master",0,"The bloat of this routine South Korean crime thriller, directed by Cho Ui-seok, magnifies its generic qualities."
"531","Railroad Tigers",0,"Mr. Chan, 62, dazzles in this action movie set during the Second Sino-Japanese War, but the most challenging moves are left to younger stuntmen."
"532","Silence",0,"In Martin Scorsese’s film, Jesuit priests in 17th-century Japan operate underground to keep their religion alive when they and their adherents are persecuted."
"533","The Ardennes",0,"Robin Pront’s film depicts a man who took the fall for a crime and who catches up with his brother and his girlfriend, now reformed and in a relationship, four years later."
"534","Underworld: Blood Wars",0,"This action-horror franchise about warring vampires and werewolves returns for a fifth outing. But is it a sequel or a dissertation?"
"535","Legion of Brothers",0,"This documentary tells the stories of Green Berets who were sent to topple the Taliban immediately after the Sept. 11 terrorist attacks."
