"","movie","pick","review"
"228","Atomic Blonde",0,"Charlize Theron plays a spy in “Atomic Blonde,” which comes off like a highlight reel of car crashes and inventively choreographed fights."
"229","From the Land of the Moon",0,"Nicole Garcia’s turgid adaptation of an Italian novella makes for a silly movie, despite a strong performance from Marion Cotillard."
"230","I Dream in Another Language",0,"In the film, a linguist seeks to keep a language alive, but the only two men who speak it aren’t interested."
"231","Imperfections",0,"David Singer’s film is a modest con movie about the lengths an aspiring actress is willing to go to for some extra cash."
"232","Menashe",1,"In this sweet, often understated film set in a Hasidic neighborhood, the title character is a widower who must remarry to regain custody of his son."
"233","Person to Person",0,"Dustin Guy Defa wrote and directed this low-budget feature that tells the stories of several New Yorkers over the course of a day."
"234","Rumble: The Indians Who Rocked The World",0,"Catherine Bainbridge’s “Rumble: The Indians Who Rocked the World” celebrates performers who never fully got their due for their musical contributions."
"235","Sled Dogs",0,"The documentary filmmaker Fern Levitt wants to shut down the dog-sledding industry. She makes a moving argument."
"236","Strange Weather",0,"In this road movie, a woman whose son has committed suicide travels to confront the hot-dog tycoon who stole her son’s idea."
"237","The Emoji Movie",0,"In Hollywood, anything goes — even this big-screen tale about those little digital expressions of emotions."
"238","The Incredible Jessica James",1,"Jessica Williams shines as a young playwright struggling with rejection — professionally and romantically — in this film streaming on Netflix."
"239","The Last Dalai Lama?",0,"This documentary examines why the Dalai Lama is being careful to protect his lineage from Chinese interference."
"240","The Last Face",0,"In war-torn Liberia, Charlize Theron and Javier Bardem face a big problem: how to keep their knotty relationship from fizzling."
