"","Title","Genre","Awards","Ratings.Source","Ratings.Value","Ratings.Source.1","Ratings.Value.1","Ratings.Source.2","Ratings.Value.2"
"254","The Lego Batman Movie","Animation, Action, Comedy, Family","11 wins & 58 nominations.","Internet Movie Database","7.3/10","Rotten Tomatoes","90%","Metacritic","75/100"
"255","The Lego Ninjago Movie","Animation, Action, Adventure","4 nominations.","Internet Movie Database","6.0/10","Rotten Tomatoes","55%","Metacritic","55/100"
"256","The Lion in Winter","Biography, Drama, History","Won 3 Oscars. Another 12 wins & 18 nominations.","Internet Movie Database","8.1/10","Rotten Tomatoes","92%",NA,NA
"257","The Lost City of Z","Adventure, Biography, Drama","5 wins & 28 nominations.","Internet Movie Database","6.6/10","Rotten Tomatoes","86%","Metacritic","78/100"
"258","The Lovers","Drama, Romance","2 wins & 1 nomination.","Internet Movie Database","7.3/10","Rotten Tomatoes","100%",NA,NA
"259","The Magnificent Seven","Action, Adventure, Western","5 wins & 12 nominations.","Internet Movie Database","6.9/10","Rotten Tomatoes","63%","Metacritic","54/100"
"260","The Man Who Invented Christmas","Biography, Comedy, Drama","1 win.","Internet Movie Database","7.0/10","Rotten Tomatoes","80%","Metacritic","60/100"
"261","The Mountain Between Us","Action, Adventure, Drama, Romance, Thriller","2 wins & 1 nomination.","Internet Movie Database","6.4/10","Rotten Tomatoes","41%","Metacritic","48/100"
"262","The Mummy","Action, Adventure, Fantasy","Nominated for 1 Oscar. Another 5 wins & 19 nominations.","Internet Movie Database","7.0/10","Rotten Tomatoes","57%","Metacritic","48/100"
"263","The Nut Job 2: Nutty by Nature","Animation, Action, Adventure","2 nominations.","Internet Movie Database","5.4/10","Rotten Tomatoes","13%","Metacritic","36/100"
"264","The Only Living Boy in New York","Drama","N/A","Internet Movie Database","6.3/10","Rotten Tomatoes","33%","Metacritic","33/100"
"265","The Polar Express","Animation, Adventure, Comedy, Family, Fantasy, Musical","Nominated for 3 Oscars. Another 5 wins & 23 nominations.","Internet Movie Database","6.6/10","Rotten Tomatoes","55%","Metacritic","61/100"
"266","The Post","Biography, Drama, History, Thriller","Nominated for 2 Oscars. Another 16 wins & 97 nominations.","Internet Movie Database","7.2/10","Rotten Tomatoes","87%","Metacritic","83/100"
"267","The Promise","Drama, History","2 wins & 3 nominations.","Internet Movie Database","6.1/10","Rotten Tomatoes","49%","Metacritic","49/100"
"268","The Recall","Horror, Sci-Fi, Thriller","1 win.","Internet Movie Database","4.5/10",NA,NA,NA,NA
"269","The Resurrection of Gavin Stone","Comedy, Drama, Family","1 win.","Internet Movie Database","6.2/10","Metacritic","36/100",NA,NA
"270","The Rocky Horror Picture Show","Comedy, Musical","3 wins & 4 nominations.","Internet Movie Database","7.4/10","Rotten Tomatoes","80%","Metacritic","58/100"
"271","The Salesman","Drama, Thriller","Won 1 Oscar. Another 9 wins & 19 nominations.","Internet Movie Database","7.8/10","Rotten Tomatoes","96%","Metacritic","85/100"
"272","The Sense of an Ending","Drama, Mystery","1 win.","Internet Movie Database","6.3/10","Rotten Tomatoes","76%","Metacritic","61/100"
"273","The Shack","Drama, Fantasy","1 nomination.","Internet Movie Database","6.3/10","Rotten Tomatoes","19%","Metacritic","32/100"
"274","The Shape of Water","Adventure, Drama, Fantasy","Won 4 Oscars. Another 101 wins & 293 nominations.","Internet Movie Database","7.4/10","Rotten Tomatoes","92%","Metacritic","87/100"
"275","The Snowman","Crime, Drama, Mystery","1 nomination.","Internet Movie Database","5.1/10","Rotten Tomatoes","8%","Metacritic","23/100"
"276","The Space Between Us","Adventure, Drama, Romance, Sci-Fi","4 nominations.","Internet Movie Database","6.4/10","Rotten Tomatoes","17%","Metacritic","33/100"
"277","The Star","Animation, Adventure, Comedy","Nominated for 1 Golden Globe. Another 1 win & 3 nominations.","Internet Movie Database","5.9/10","Rotten Tomatoes","44%","Metacritic","42/100"
"278","The Stray","Drama, Family","N/A","Internet Movie Database","5.4/10","Rotten Tomatoes","33%",NA,NA
"279","The Wall","Drama, Thriller, War","1 nomination.","Internet Movie Database","6.2/10","Rotten Tomatoes","66%","Metacritic","57/100"
"280","The Wedding Plan","Comedy, Romance","4 wins & 8 nominations.","Internet Movie Database","6.6/10","Metacritic","72/100",NA,NA
"281","The Work","Documentary","4 wins & 10 nominations.","Internet Movie Database","8.0/10","Rotten Tomatoes","100%","Metacritic","84/100"
"282","The Zookeeper's Wife","Biography, Drama, History","2 wins & 3 nominations.","Internet Movie Database","7.0/10","Rotten Tomatoes","61%","Metacritic","57/100"
"283","Their Finest","Comedy, Drama, Romance, War","1 win & 6 nominations.","Internet Movie Database","6.8/10","Rotten Tomatoes","90%","Metacritic","76/100"
"284","Thelma","Drama, Fantasy, Horror, Mystery, Romance, Thriller","7 wins & 23 nominations.","Internet Movie Database","7.0/10","Rotten Tomatoes","92%","Metacritic","74/100"
"285","Thor: Ragnarok","Action, Adventure, Comedy","5 wins & 30 nominations.","Internet Movie Database","7.9/10","Rotten Tomatoes","92%","Metacritic","74/100"
"286","Three Billboards Outside Ebbing, Missouri","Comedy, Crime, Drama","Won 2 Oscars. Another 104 wins & 193 nominations.","Internet Movie Database","8.2/10","Rotten Tomatoes","92%","Metacritic","88/100"
"287","Til Death Do Us Part","Drama, Romance","9 wins & 9 nominations.","Internet Movie Database","6.4/10",NA,NA,NA,NA
"288","Tim Timmerman, Hope of America","Comedy","4 wins & 1 nomination.","Internet Movie Database","5.5/10",NA,NA,NA,NA
"289","Titanic","Drama, Romance","Won 11 Oscars. Another 111 wins & 77 nominations.","Internet Movie Database","7.8/10","Rotten Tomatoes","89%","Metacritic","75/100"
"290","Tommy's Honour","Biography, Drama, Romance","1 win & 2 nominations.","Internet Movie Database","6.1/10","Rotten Tomatoes","67%","Metacritic","56/100"
"291","Trafficked","Drama, Thriller","N/A","Internet Movie Database","5.1/10","Rotten Tomatoes","17%","Metacritic","38/100"
"292","Transformers: The Last Knight","Action, Adventure, Sci-Fi","16 nominations.","Internet Movie Database","5.2/10","Rotten Tomatoes","16%","Metacritic","27/100"
"293","Trolls","Animation, Adventure, Comedy, Family, Fantasy, Musical","Nominated for 1 Oscar. Another 4 wins & 35 nominations.","Internet Movie Database","6.5/10","Rotten Tomatoes","74%","Metacritic","56/100"
"294","Trophy","Documentary","1 win & 6 nominations.","Internet Movie Database","7.4/10","Rotten Tomatoes","98%","Metacritic","80/100"
"295","Tulip Fever","Drama, History, Romance","1 nomination.","Internet Movie Database","6.2/10","Rotten Tomatoes","9%","Metacritic","38/100"
"296","Boo 2! A Madea Halloween","Comedy, Horror","1 win & 2 nominations.","Internet Movie Database","3.7/10","Rotten Tomatoes","6%","Metacritic","17/100"
"297","Un Padre No Tan Padre","Comedy","N/A","Internet Movie Database","6.9/10",NA,NA,NA,NA
"298","Underworld: Blood Wars","Action, Adventure, Fantasy","N/A","Internet Movie Database","5.8/10","Rotten Tomatoes","21%","Metacritic","23/100"
"299","Unforgettable","Crime, Drama, Mystery","1 nomination.","Internet Movie Database","6.8/10",NA,NA,NA,NA
"300","Valerian and the City of a Thousand Planets","Action, Adventure, Fantasy","8 nominations.","Internet Movie Database","6.5/10","Rotten Tomatoes","48%","Metacritic","51/100"
"301","War for the Planet of the Apes","Action, Adventure, Drama","Nominated for 1 Oscar. Another 22 wins & 46 nominations.","Internet Movie Database","7.5/10","Rotten Tomatoes","93%","Metacritic","82/100"
"302","Warriors of the Dawn","Drama","N/A","Internet Movie Database","6.6/10",NA,NA,NA,NA
"303","Wasted! The Story of Food Waste","Documentary","N/A","Rotten Tomatoes","100%",NA,NA,NA,NA
"304","We Love You, Sally Carmichael!","Comedy","N/A","Internet Movie Database","6.0/10",NA,NA,NA,NA
"305","Why Him?","Comedy","1 win.","Internet Movie Database","6.2/10","Rotten Tomatoes","39%","Metacritic","39/100"
"306","Wilson","Comedy, Drama","1 nomination.","Internet Movie Database","5.8/10","Rotten Tomatoes","47%","Metacritic","49/100"
"307","Wind River","Crime, Drama, Mystery, Thriller","8 wins & 18 nominations.","Internet Movie Database","7.7/10","Rotten Tomatoes","86%","Metacritic","73/100"
"308","Wish Upon","Fantasy, Horror, Thriller","N/A","Internet Movie Database","5.1/10","Rotten Tomatoes","17%","Metacritic","32/100"
"309","Wonder","Drama, Family","Nominated for 1 Oscar. Another 2 wins & 21 nominations.","Internet Movie Database","8.0/10","Rotten Tomatoes","84%","Metacritic","66/100"
"310","Wonder Wheel","Drama","3 wins & 4 nominations.","Internet Movie Database","6.2/10","Rotten Tomatoes","30%","Metacritic","45/100"
"311","Wonder Woman","Action, Adventure, Fantasy","17 wins & 54 nominations.","Internet Movie Database","7.5/10","Rotten Tomatoes","93%","Metacritic","76/100"
"312","Wonderstruck","Drama, Mystery","1 win & 27 nominations.","Internet Movie Database","6.2/10","Rotten Tomatoes","66%","Metacritic","71/100"
"313","Woodshock","Drama, Thriller","N/A","Internet Movie Database","4.3/10","Rotten Tomatoes","25%","Metacritic","39/100"
"314","xXx: Return of Xander Cage","Action, Adventure, Thriller","1 win & 6 nominations.","Internet Movie Database","5.2/10","Rotten Tomatoes","46%","Metacritic","42/100"
